2022-10-19 00:08:58,908 prepare dataset.
2022-10-19 00:09:03,369 prepare data loader.
2022-10-19 00:09:03,370 Initializing DataLoader.
2022-10-19 00:09:03,372 DataLoader already.
2022-10-19 00:09:03,372 prepare model.
2022-10-19 00:09:03,555 Number of semantic embeddings: 928.
2022-10-19 00:09:11,370 From /data/wangjinpeng/anaconda3/envs/py37torch/lib/python3.7/site-packages/tensorflow_core/python/ops/math_grad.py:1424: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where.
2022-10-19 00:09:24,331 begin training.
2022-10-19 00:09:39,033 step [   1], lr [0.0003000], embedding loss [ 0.8909], quantization loss [ 0.0000], 13.05 sec/batch.
2022-10-19 00:09:41,217 step [   2], lr [0.0003000], embedding loss [ 0.8572], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-19 00:09:43,316 step [   3], lr [0.0003000], embedding loss [ 0.8549], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-19 00:09:45,392 step [   4], lr [0.0003000], embedding loss [ 0.8436], quantization loss [ 0.0000],  0.54 sec/batch.
2022-10-19 00:09:47,529 step [   5], lr [0.0003000], embedding loss [ 0.8339], quantization loss [ 0.0000],  0.54 sec/batch.
2022-10-19 00:09:49,665 step [   6], lr [0.0003000], embedding loss [ 0.8331], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-19 00:09:51,801 step [   7], lr [0.0003000], embedding loss [ 0.8267], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-19 00:09:53,894 step [   8], lr [0.0003000], embedding loss [ 0.8194], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-19 00:09:56,029 step [   9], lr [0.0003000], embedding loss [ 0.8068], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-19 00:09:58,129 step [  10], lr [0.0003000], embedding loss [ 0.8153], quantization loss [ 0.0000],  0.53 sec/batch.
2022-10-19 00:10:00,299 step [  11], lr [0.0003000], embedding loss [ 0.8151], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-19 00:10:02,393 step [  12], lr [0.0003000], embedding loss [ 0.8042], quantization loss [ 0.0000],  0.53 sec/batch.
2022-10-19 00:10:04,534 step [  13], lr [0.0003000], embedding loss [ 0.8058], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-19 00:10:06,695 step [  14], lr [0.0003000], embedding loss [ 0.8056], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-19 00:10:08,857 step [  15], lr [0.0003000], embedding loss [ 0.8034], quantization loss [ 0.0000],  0.55 sec/batch.
