2022-10-19 01:56:17,494 prepare dataset.
2022-10-19 01:56:22,150 prepare data loader.
2022-10-19 01:56:22,151 Initializing DataLoader.
2022-10-19 01:56:22,153 DataLoader already.
2022-10-19 01:56:22,153 prepare model.
2022-10-19 01:56:22,350 Number of semantic embeddings: 928.
2022-10-19 01:56:30,291 From /data/wangjinpeng/anaconda3/envs/py37torch/lib/python3.7/site-packages/tensorflow_core/python/ops/math_grad.py:1424: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where.
2022-10-19 01:56:43,503 begin training.
2022-10-19 01:56:58,259 step [   1], lr [0.0003000], embedding loss [ 0.9004], quantization loss [ 0.0000], 13.09 sec/batch.
2022-10-19 01:57:00,388 step [   2], lr [0.0003000], embedding loss [ 0.8647], quantization loss [ 0.0000],  0.51 sec/batch.
2022-10-19 01:57:02,547 step [   3], lr [0.0003000], embedding loss [ 0.8446], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-19 01:57:04,869 step [   4], lr [0.0003000], embedding loss [ 0.8401], quantization loss [ 0.0000],  0.51 sec/batch.
2022-10-19 01:57:06,947 step [   5], lr [0.0003000], embedding loss [ 0.8280], quantization loss [ 0.0000],  0.51 sec/batch.
2022-10-19 01:57:09,297 step [   6], lr [0.0003000], embedding loss [ 0.8359], quantization loss [ 0.0000],  0.52 sec/batch.
2022-10-19 01:57:11,512 step [   7], lr [0.0003000], embedding loss [ 0.8119], quantization loss [ 0.0000],  0.51 sec/batch.
2022-10-19 01:57:13,654 step [   8], lr [0.0003000], embedding loss [ 0.8291], quantization loss [ 0.0000],  0.51 sec/batch.
2022-10-19 01:57:15,814 step [   9], lr [0.0003000], embedding loss [ 0.8147], quantization loss [ 0.0000],  0.54 sec/batch.
2022-10-19 01:57:18,124 step [  10], lr [0.0003000], embedding loss [ 0.8191], quantization loss [ 0.0000],  0.53 sec/batch.
2022-10-19 01:57:20,550 step [  11], lr [0.0003000], embedding loss [ 0.8126], quantization loss [ 0.0000],  0.52 sec/batch.
2022-10-19 01:57:22,790 step [  12], lr [0.0003000], embedding loss [ 0.7977], quantization loss [ 0.0000],  0.51 sec/batch.
2022-10-19 01:57:24,989 step [  13], lr [0.0003000], embedding loss [ 0.8058], quantization loss [ 0.0000],  0.52 sec/batch.
2022-10-19 01:57:27,186 step [  14], lr [0.0003000], embedding loss [ 0.7931], quantization loss [ 0.0000],  0.52 sec/batch.
2022-10-19 01:57:29,351 step [  15], lr [0.0003000], embedding loss [ 0.7940], quantization loss [ 0.0000],  0.54 sec/batch.
2022-10-19 01:57:31,420 step [  16], lr [0.0003000], embedding loss [ 0.7913], quantization loss [ 0.0000],  0.53 sec/batch.
2022-10-19 01:57:33,677 step [  17], lr [0.0003000], embedding loss [ 0.7955], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-19 01:57:35,959 step [  18], lr [0.0003000], embedding loss [ 0.7899], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-19 01:57:38,204 step [  19], lr [0.0003000], embedding loss [ 0.7967], quantization loss [ 0.0000],  0.51 sec/batch.
2022-10-19 01:57:40,338 step [  20], lr [0.0003000], embedding loss [ 0.7980], quantization loss [ 0.0000],  0.51 sec/batch.
