2022-10-20 19:54:39,335 prepare dataset.
2022-10-20 19:54:53,632 prepare data loader.
2022-10-20 19:54:53,632 Initializing DataLoader.
2022-10-20 19:54:53,642 DataLoader already.
2022-10-20 19:54:53,642 prepare model.
2022-10-20 19:54:53,861 Number of semantic embeddings: 1178.
2022-10-20 19:55:01,838 From /data/wangjinpeng/anaconda3/envs/py37torch/lib/python3.7/site-packages/tensorflow_core/python/ops/math_grad.py:1424: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where.
2022-10-20 19:55:14,517 begin training.
2022-10-20 19:55:34,785 step [   1], lr [0.0003000], embedding loss [ 0.8958], quantization loss [ 0.0000], 17.73 sec/batch.
2022-10-20 19:55:37,955 step [   2], lr [0.0003000], embedding loss [ 0.8764], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-20 19:55:41,212 step [   3], lr [0.0003000], embedding loss [ 0.8547], quantization loss [ 0.0000],  0.61 sec/batch.
2022-10-20 19:55:44,602 step [   4], lr [0.0003000], embedding loss [ 0.8475], quantization loss [ 0.0000],  0.63 sec/batch.
2022-10-20 19:55:47,801 step [   5], lr [0.0003000], embedding loss [ 0.8413], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:55:51,173 step [   6], lr [0.0003000], embedding loss [ 0.8438], quantization loss [ 0.0000],  0.64 sec/batch.
2022-10-20 19:55:54,544 step [   7], lr [0.0003000], embedding loss [ 0.8434], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:55:57,783 step [   8], lr [0.0003000], embedding loss [ 0.8439], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-20 19:56:01,107 step [   9], lr [0.0003000], embedding loss [ 0.8390], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:56:04,364 step [  10], lr [0.0003000], embedding loss [ 0.8447], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:56:07,630 step [  11], lr [0.0003000], embedding loss [ 0.8405], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:56:10,941 step [  12], lr [0.0003000], embedding loss [ 0.8352], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:56:14,340 step [  13], lr [0.0003000], embedding loss [ 0.8496], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:56:17,711 step [  14], lr [0.0003000], embedding loss [ 0.8453], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-20 19:56:20,967 step [  15], lr [0.0003000], embedding loss [ 0.8386], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:56:24,235 step [  16], lr [0.0003000], embedding loss [ 0.8410], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:56:27,636 step [  17], lr [0.0003000], embedding loss [ 0.8459], quantization loss [ 0.0000],  0.59 sec/batch.
2022-10-20 19:56:30,882 step [  18], lr [0.0003000], embedding loss [ 0.8412], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:56:34,192 step [  19], lr [0.0003000], embedding loss [ 0.8386], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:56:37,503 step [  20], lr [0.0003000], embedding loss [ 0.8429], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:56:40,816 step [  21], lr [0.0003000], embedding loss [ 0.8419], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:56:44,037 step [  22], lr [0.0003000], embedding loss [ 0.8438], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:56:47,259 step [  23], lr [0.0003000], embedding loss [ 0.8385], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:56:50,581 step [  24], lr [0.0003000], embedding loss [ 0.8318], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:56:53,952 step [  25], lr [0.0003000], embedding loss [ 0.8464], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:56:57,176 step [  26], lr [0.0003000], embedding loss [ 0.8299], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 19:57:00,408 step [  27], lr [0.0003000], embedding loss [ 0.8335], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:03,613 step [  28], lr [0.0003000], embedding loss [ 0.8340], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:57:06,917 step [  29], lr [0.0003000], embedding loss [ 0.8371], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:10,251 step [  30], lr [0.0003000], embedding loss [ 0.8336], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:13,461 step [  31], lr [0.0003000], embedding loss [ 0.8416], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:16,656 step [  32], lr [0.0003000], embedding loss [ 0.8440], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:57:20,047 step [  33], lr [0.0003000], embedding loss [ 0.8289], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:57:23,256 step [  34], lr [0.0003000], embedding loss [ 0.8348], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:57:26,488 step [  35], lr [0.0003000], embedding loss [ 0.8416], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 19:57:29,691 step [  36], lr [0.0003000], embedding loss [ 0.8307], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:33,008 step [  37], lr [0.0003000], embedding loss [ 0.8358], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:36,222 step [  38], lr [0.0003000], embedding loss [ 0.8295], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:39,494 step [  39], lr [0.0003000], embedding loss [ 0.8372], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:42,856 step [  40], lr [0.0003000], embedding loss [ 0.8293], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:46,236 step [  41], lr [0.0003000], embedding loss [ 0.8348], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:49,529 step [  42], lr [0.0003000], embedding loss [ 0.8336], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:57:52,808 step [  43], lr [0.0003000], embedding loss [ 0.8326], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:57:56,038 step [  44], lr [0.0003000], embedding loss [ 0.8301], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 19:57:59,241 step [  45], lr [0.0003000], embedding loss [ 0.8306], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:58:02,564 step [  46], lr [0.0003000], embedding loss [ 0.8377], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:58:05,896 step [  47], lr [0.0003000], embedding loss [ 0.8391], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:58:09,208 step [  48], lr [0.0003000], embedding loss [ 0.8288], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:58:12,457 step [  49], lr [0.0003000], embedding loss [ 0.8354], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:58:15,588 step [  50], lr [0.0003000], embedding loss [ 0.8309], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:58:18,827 step [  51], lr [0.0003000], embedding loss [ 0.8338], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 19:58:22,181 step [  52], lr [0.0003000], embedding loss [ 0.8269], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:58:25,556 step [  53], lr [0.0003000], embedding loss [ 0.8333], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 19:58:28,648 step [  54], lr [0.0003000], embedding loss [ 0.8279], quantization loss [ 0.0000],  0.55 sec/batch.
