2022-10-20 18:23:50,492 prepare dataset.
2022-10-20 18:24:04,683 prepare data loader.
2022-10-20 18:24:04,684 Initializing DataLoader.
2022-10-20 18:24:04,691 DataLoader already.
2022-10-20 18:24:04,691 prepare model.
2022-10-20 18:24:04,910 Number of semantic embeddings: 1178.
2022-10-20 18:24:12,969 From /data/wangjinpeng/anaconda3/envs/py37torch/lib/python3.7/site-packages/tensorflow_core/python/ops/math_grad.py:1424: where (from tensorflow.python.ops.array_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.where in 2.0, which has the same broadcast rule as np.where.
2022-10-20 18:24:25,213 begin training.
2022-10-20 18:24:45,177 step [   1], lr [0.0003000], embedding loss [ 0.8931], quantization loss [ 0.0000], 17.42 sec/batch.
2022-10-20 18:24:48,501 step [   2], lr [0.0003000], embedding loss [ 0.8723], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 18:24:51,615 step [   3], lr [0.0003000], embedding loss [ 0.8699], quantization loss [ 0.0000],  0.60 sec/batch.
2022-10-20 18:24:54,842 step [   4], lr [0.0003000], embedding loss [ 0.8459], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 18:24:58,024 step [   5], lr [0.0003000], embedding loss [ 0.8471], quantization loss [ 0.0000],  0.55 sec/batch.
2022-10-20 18:25:01,418 step [   6], lr [0.0003000], embedding loss [ 0.8412], quantization loss [ 0.0000],  0.60 sec/batch.
2022-10-20 18:25:04,696 step [   7], lr [0.0003000], embedding loss [ 0.8475], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 18:25:07,824 step [   8], lr [0.0003000], embedding loss [ 0.8458], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 18:25:11,111 step [   9], lr [0.0003000], embedding loss [ 0.8407], quantization loss [ 0.0000],  0.59 sec/batch.
2022-10-20 18:25:14,198 step [  10], lr [0.0003000], embedding loss [ 0.8412], quantization loss [ 0.0000],  0.58 sec/batch.
2022-10-20 18:25:17,448 step [  11], lr [0.0003000], embedding loss [ 0.8467], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 18:25:20,731 step [  12], lr [0.0003000], embedding loss [ 0.8400], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 18:25:24,149 step [  13], lr [0.0003000], embedding loss [ 0.8471], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 18:25:27,504 step [  14], lr [0.0003000], embedding loss [ 0.8460], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 18:25:30,832 step [  15], lr [0.0003000], embedding loss [ 0.8447], quantization loss [ 0.0000],  0.57 sec/batch.
2022-10-20 18:25:34,088 step [  16], lr [0.0003000], embedding loss [ 0.8385], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 18:25:37,390 step [  17], lr [0.0003000], embedding loss [ 0.8434], quantization loss [ 0.0000],  0.59 sec/batch.
2022-10-20 18:25:40,525 step [  18], lr [0.0003000], embedding loss [ 0.8450], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 18:25:43,639 step [  19], lr [0.0003000], embedding loss [ 0.8496], quantization loss [ 0.0000],  0.56 sec/batch.
2022-10-20 18:25:46,926 step [  20], lr [0.0003000], embedding loss [ 0.8388], quantization loss [ 0.0000],  0.56 sec/batch.
